brand_name,ingredient_formula,price_usd,product_labels,product_name,ratings
Friskies,"Fish, Chicken Meal, Rice, Poultry By-product Meal, Corn Gluten Meal, Animal Fat Preserved With Mixed-tocopherols, Wheat Flour, Natural Flavor, Pea Starch, Barley, Salmon, Dried Yeast, Phosphoric Acid, Malted Barley Extract, Calcium Carbonate, Potassium Chloride, Salt, Choline Chloride, Dehydrated Seaweed Meal, Sunflower Meal, Vitamins (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Dried Carrots, Dried Peas, Minerals (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Taurine, Citric Acid. E623118.",3.84,Crunchy Cat Treats,"Friskies Party Mix Natural Yums With Real Salmon and Vitamins, Minerals & Nutrients Cat Treats, 6 oz.",4.8
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Yellow #5, Blue #2, Choline Chloride, Salt, Taurine, Dl-Methionine, Calcium Carbonate, Dried Catnip, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Mixed Tocopherols (Preservative), Natural Salmon Flavor, Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",2.58,Crunchy Cat Treats,"Temptations Classic Crunchy and Soft Cat Treats Blissful Catnip Flavor, 3 oz.",4.6
Friskies,"Chicken Meal, Brewers Rice, Corn Gluten Meal, Animal Fat Preserved With Mixed-Tocopherols, Natural Flavors, Chicken, Malted Barley Extract, Phosphoric Acid, Calcium Carbonate, Potassium Chloride, Dried Yeast, Salt, Catnip, Choline Chloride, Dehydrated Seaweed Meal, Sunflower Meal, Vitamins (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Dried Carrots, Dried Peas, Minerals (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Taurine, Citric Acid. A623718.",3.99,Catnip & Cat Grass,"Friskies Party Mix Natural Yums Catnip Flavor Cat Treats, 6 oz.",4.8
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Caramel Color, Taurine, Dl-Methionine, Calcium Carbonate, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Natural Tuna Flavor, Mixed Tocopherols (Preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",3.98,Crunchy Cat Treats,"Temptations Classic Crunchy and Soft Cat Treats Tempting Tuna Flavor, 6.3 oz.",4.7
WholeHearted,"Fish Broth, Tuna, Tapioca Starch, Natural Flavor, Vitamin E Supplement",2.99,Cat Treats,"WholeHearted Tuna Recipe Puree Squeezable Cat Treats, 0.5 oz., Count of 4",4.8
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Taurine, Dl-Methionine, Calcium Carbonate, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Natural Tuna Shrimp & Salmon Flavor, Red #40, Mixed Tocopherols (Preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",15.48,Crunchy Cat Treats,"Temptations Classic Crunchy and Soft Cat Treats Seafood Medley Flavor, 30 oz.",4.8
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Yellow #5, Blue #2, Taurine, Dl-Methionine, Calcium Carbonate, Catnip Powder, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Mixed Tocopherols (Preservative), Red #40, Dried Cheddar Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",8.48,Crunchy Cat Treats,"Temptations MixUps Crunchy and Soft Cat Treats Catnip Fever Flavor, 16 oz.",4.8
Friskies,"Chicken, Chicken Meal, Brewers Rice, Poultry By-Product Meal, Corn Gluten Meal, Wheat Flour, Animal Fat Preserved With Mixed-Tocopherols, Pea Starch, Natural Flavor, Barley, Dried Yeast, Phosphoric Acid, Malted Barley Extract, Calcium Carbonate, Potassium Chloride, Salt, Choline Chloride, Dehydrated Seaweed Meal, Sunflower Meal, Vitamins (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Dried Carrots, Dried Peas, Minerals (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Taurine, Citric Acid.E623018.",3.79,Crunchy Cat Treats,"Friskies Party Mix Natural Yums With Real Chicken & Vitamins, Minerals & Nutrients Cat Treats, 6 oz.",4.9
ORIJEN,"Chicken, turkey, turkey giblets (liver, heart, gizzard), chicken liver, flounder, chicken heart, mixed tocopherols (preservative), citric acid (preservative), rosemary extract.",7.39,Grain Free Cat Treats,"ORIJEN Original Freeze-Dried Cat Treats, 1.25 oz.",4.7
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Taurine, Dl-Methionine, Calcium Carbonate, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Natural Tuna Shrimp & Salmon Flavor, Red #40, Mixed Tocopherols (Preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",15.48,Crunchy Cat Treats,"Temptations Classic Crunchy and Soft Cat Treats Savory Salmon Flavor, 30 oz.",4.7
Greenies,"Chicken Meal, Ground Wheat, Brewers Rice, Corn Gluten Meal, Poultry Fat (Preserved with Mixed Tocopherols), Oat Fiber, Natural Poultry Flavor, Ground Flaxseed, Brewers Dried Yeast, Potassium Chloride, Calcium Carbonate, Salt, Choline Chloride, Citric Acid (a Preservative), Fruit Juice Color, Taurine, DL-Methionine, Mixed Tocopherols (a Preservative), DL-Alpha Tocopherol Acetate (Source of Vitamin E), Ferrous Sulfate, Turmeric Color, Zinc Sulfate, Niacin Supplement, Zinc Oxide, Copper Sulfate, D-Calcium Pantothenate (Vitamin B5), Vitamin A Supplement, Thiamine Mononitrate (Vitamin B1), Manganous Oxide, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Sodium Selenite, Folic Acid, Calcium Iodate, Cobalt Carbonate, Rosemary Extract.",22.98,Crunchy Cat Treats,"Feline Greenies Natural Oven Roasted Chicken Flavor Adult Dental Cat Treats, 21 oz.",4.7
Friskies,"Ocean Whitefish, Chicken Meal, Brewers Rice, Chicken By-Product Meal, Animal Fat Preserved With Mixed-Tocopherols, Pea Starch, Barley, Corn Protein Meal, Liver Flavor, Natural And Artificial Flavors, Cassava Root Flour, Phosphoric Acid, Calcium Carbonate, Potassium Chloride, Brewers Dried Yeast, Shrimp Meal, Crab Meal, Tuna Meal, Choline Chloride, Salt, Taurine, L-Ascorbyl-2-Polyphosphate, MINERALS (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), VITAMINS (Vitamin E Supplement, Niacin, Vitamin A Supplement, Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Vitamin B-12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D-3 Supplement, Biotin, Menadione Sodium Bisulfite Complex), Yellow 5, Citric Acid, Yellow 6, Red 40, Blue 2, Bha (A Preservative), Bht (A Preservative). I619023.",8.48,Crunchy Cat Treats,"Friskies Party Mix Beachside Crunch Cat Treats, 20 oz.",4.8
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Taurine, Dl-Methionine, Calcium Carbonate, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Natural Tuna Shrimp & Salmon Flavor, Red #40, Mixed Tocopherols (Preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",8.48,Crunchy Cat Treats,"Temptations MixUps Crunchy and Soft Cat Treats Surfer's Delight Flavor, 16 oz.",4.7
Tiki Cat,"WITH CHICKEN IN CREAMY GRAVY INGREDIENTS: Chicken broth, chicken, dried egg, natural tuna flavor, natural chicken flavor, xanthan gum, fish extract, salt. WITH SALMON IN CREAMY GRAVY INGREDIENTS: Salmon broth, salmon, mackerel, dried egg, natural tuna flavor, natural chicken flavor, xanthan gum, fish extract, salt. WITH DUCK IN CREAMY GRAVY INGREDIENTS: Duck broth, duck, chicken, dried egg, natural tuna flavor, natural chicken flavor, xanthan gum, fish extract, salt.",5.49,Cat Food Toppers,"Tiki Cat Stix Treats Variety Pack, 0.5 oz., Count of 6",4.5
Friskies,"Brewers Rice, Chicken By-Product Meal, Beef Fat Preserved With Mixed-Tocopherols, Corn Protein Meal, Animal Liver Flavor, Fish, Natural And Artificial Flavors, Dried Egg Product, Dried Yeast, Phosphoric Acid, Calcium Carbonate, Potassium Chloride, Bacon Flavor, Dried Cheese Powder, Salt, Choline Chloride, Taurine, L-Ascorbyl-2-Polyphosphate (Vitamin C), VITAMINS (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid, Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), MINERALS (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Yellow 5, Citric Acid, Yellow 6, Red 40, Blue 2, Bha (A Preservative), Bht (A Preservative). F619922.",1.78,Crunchy Cat Treats,"Friskies Party Mix Morning Munch Crunch Cat Treats, 2.1 oz.",4.9
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Taurine, DL-Methionine, Calcium Carbonate, DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Natural Salmon Flavor, Red #40, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid.",15.48,Crunchy Cat Treats,"Temptations Classics Tasty Chicken Flavor Crunchy and Soft Cat Treats, 30 oz.",4.8
WholeHearted,"Chicken: Chicken Broth, Chicken, Tapioca Starch, Natural Flavor, Vitamin E Supplement; Tuna: Fish Broth, Tuna, Tapioca Starch, Natural Flavor, Vitamin E Supplement; Salmon: Water Sufficient For Processing, Salmon, Tapioca Starch, Sunflower Oil, Natural Flavor, Guar Gum.",4.39,Cat Treats,"Whole Hearted Squeezable Puree Cat Treat Variety Pack, 0.5 oz., Count of 6",4.5
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (Preserved With Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors (Source Of Liver Flavor), Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Caramel Color, Salt, Taurine, Dl-Methionine, Calcium Carbonate, Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Zinc Sulfate, Mixed Tocopherols (Preservative), Natural Beef Flavor, Red #40, Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please Reference Ingredient Image For Complete Ingredient List.",8.48,Crunchy Cat Treats,"Temptations MixUps Crunchy and Soft Cat Treats Backyard Cookout Flavor, 16 oz.",4.7
WholeHearted,Salmon,2.6,Natural Cat Treats,"WholeHearted Protein-Rich Salmon Filet Cat Treat, 1 oz.",4.7
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Caramel Color, Taurine, DL-Methionine, Calcium Carbonate, DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Natural Tuna Flavor, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid Please reference ingredient image for complete ingredient list.",3.98,Crunchy Cat Treats,"Temptations Classic Tantalizing Turkey Flavor Cat Treats, 6.3 oz.",4.7
Tiki Cat,"Chicken broth, chicken, dried egg, natural tuna flavor, natural chicken flavor, xanthan gum, fish extract, salt.",4.94,Grain Free Cat Treats,"Tiki Cat Stix Chicken Mousse Cat Treats, 0.5 oz., Count of 6",4.6
Temptations,"Chicken By-Product Meal, Ground Corn, Animal Fat (preserved with Mixed Tocopherols), Brewers Rice, Wheat Flour, Dried Meat By-Products, Natural Flavors, Brewers Dried Yeast, Potassium Chloride, Choline Chloride, Salt, Dried Skim Milk, Taurine, DL-Methionine, Calcium Carbonate, DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Mixed Tocopherols (preservative), Dried Cheese, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid.",8.48,Crunchy Cat Treats,"Temptations Classics Creamy Dairy Flavor Crunchy and Soft Cat Treats, 16 oz.",4.9
PureBites,American Sourced Wild-Caught Human Grade Salmon.,11.59,Crunchy Cat Treats,"PureBites Freeze Dried Salmon Cat Treats, 2.0 oz.",4.5
Meowijuana,Not Provided,9.99,Catnip & Cat Grass,"Meowijuana Purple Passion Cat Catnip, .917 oz.",4.4
Blue Buffalo,"Chicken Liver, Chicken Meal, Chicken Fat, Brown Rice, Barley, Oatmeal, Tapioca Starch, Natural Flavor, Peas, Deboned Beef, Brewers Dried Yeast, Dried Whey, Pork Fat, Lecithin, DL-Methionine, Taurine, preserved with Citric Acid and Mixed Tocopherols, Dried Cultured Whey, Glucono-Delta-Lactone, Potassium Chloride, Yeast Extract, Oil of Rosemary.",8.98,Crunchy Cat Treats,"Blue Buffalo Bursts Feline Chicken Liver and Beef Flavour Cat Treats, 12 oz.",4.6
PureBites,American Sourced Wild-Caught Human Grade Minnow.,11.59,Natural Cat Treats,"PureBites Freeze Dried Minnow Value Size Cat Treats, 2.3 oz.",4.5
Fancy Feast,"Liver Flavor, Beef Fat Preserved With Mixed-Tocopherols, Partially Hydrogenated Vegetable Oil, Natural Chicken Flavor. A642521.",2.99,Cat Treats,"Fancy Feast Savory Cravings Limited Ingredient Chicken Flavor Cat Treats, 1 oz.",4.4
Fancy Feast,"Liver Flavor, Beef Fat Preserved With Mixed-Tocopherols, Partially Hydrogenated Vegetable Oil, Brewers Dried Yeast, Crab Flavor. A642120.",5.99,Crunchy Cat Treats,"Fancy Feast Limited Ingredient Savory Cravings Beef & Crab Flavor Cat Treats, 3 oz.",4.4
Reveal,Tuna.,2.48,Grain Free Cat Treats,"Reveal Natural Grain Free, Real Protein Fillet Whole Tuna Loin Single Ingredient Cat Treats, 1.06 oz.",4.8
Temptations,"Chicken By-Product Meal, Animal Fat (preserved with Mixed Tocopherols), Ground Corn, Wheat Flour, Dried Meat By-Products, Brewers Rice, Powdered Cellulose, Natural Flavors, Plain Dried Beet Pulp, Corn Gluten Meal, Potassium Chloride, Choline Chloride, Salt, Taurine, DL-Methionine, Calcium Carbonate, Mixed Tocopherols (preservative), DL-Alpha Tocopherol Acetate (source of Vitamin E), Zinc Sulfate, Copper Sulfate, Vitamin A Acetate, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Manganese Sulfate, Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, Vitamin D3 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid.",3.98,Crunchy Cat Treats,"Temptations Indoor Control Chicken Flavor Cat Treats, 4.9 oz.",4.6
Greenies,"Chicken Meal, Brewers Rice, Animal Fat (Preserved with Mixed Tocopherols), Wheat Flour, Animal Plasma, Ground Whole Wheat, Natural Flavors, Fish Oil, Brewers Dried Yeast, Fruit Juice Color, Potassium Chloride, Choline Chloride, Salt, DL-Methionine, Taurine, Calcium Carbonate, Zinc Sulfate, Vitamin E Supplement. Ferrous Sulfate, Mixed Tocopherols (preservative), Copper Sulfate, Vitamin A Supplement, Citric Acid (preservative), Niacin Supplement, Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B2), Manganese Sulfate, Thiamine Mononitrate (Vitamin B1), D-Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Biotin, Potassium Iodide, Folic Acid, Rosemary Extract",3.28,Cat Dental Treats & Chews,"Greenies Smartbites Chicken Flavor Healthy Kitten Treats, 2.1 oz.",4.8
Friskies,"Brewers Rice, Chicken By-Product Meal, Beef Fat Preserved With Mixed-Tocopherols, Corn Protein Meal, Animal Liver Flavor, Fish, Natural And Artificial Flavors, Dried Yeast, Phosphoric Acid, Calcium Carbonate, Potassium Chloride, Cheese Powder (Source Of Cheddar Cheese Flavor), Salt, Choline Chloride, Taurine, L-Ascorbyl-2-Polyphosphate (Vitamin C), MINERALS (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), VITAMINS (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Yellow 5, Citric Acid, Yellow 6, Red 40, Blue 2, Bha (A Preservative), Bht (A Preservative). H619422.",1.78,Crunchy Cat Treats,"Friskies Party Mix Wild West Crunch Cat Treats, 2.1 oz.",4.8
Friskies,"Chicken Meal, Brewers Rice, Animal Fat Preserved With Mixed-Tocopherols, Corn Gluten Meal, Natural Flavor, Tuna, Malted Barley Extract, Phosphoric Acid, Calcium Carbonate, Dried Yeast, Salt, Choline Chloride, Dehydrated Seaweed Meal, Sunflower Meal, Cranberries, Vitamins (Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)), Dried Carrots, Dried Peas, Minerals (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Taurine, Citric Acid. E623218.",7.29,Soft & Chewy Cat Treats,"Friskies Party Mix Natural Yums With Real Tuna Cat Treats, 20 oz.",4.8
Greenies,"Chicken Meal, Ground Wheat, Brewers Rice, Corn Gluten Meal, Poultry Fat (Preserved with Mixed Tocopherols), Oat Fiber, Natural Poultry Flavor, Salmon Meal, Ground Flaxseed, Brewers Dried Yeast, Potassium Chloride, Calcium Carbonate, Salt, Choline Chloride, Citric Acid (a Preservative), Fruit Juice Color, Taurine, DL-Methionine, Mixed Tocopherols (a Preservative), DL-Alpha Tocopherol Acetate (Source of Vitamin E), Ferrous Sulfate, Turmeric Color, Zinc Sulfate, Niacin Supplement, Zinc Oxide, Copper Sulfate, D-Calcium Pantothenate (Vitamin B5), Vitamin A Supplement, Thiamine Mononitrate (Vitamin B1), Manganous Oxide, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Sodium Selenite, Folic Acid, Calcium Iodate, Cobalt Carbonate, Rosemary Extract.",22.98,Cat Dental Treats & Chews,"Feline Greenies Natural Savory Salmon Flavor Adult Dental Cat Treats, 21 oz.",4.5
PureBites,100% Pure Wild-Caught Shrimp,4.69,Crunchy Cat Treats,"PureBites Freeze Dried Wild-Caught Shrimp Value Size Cat Treats, 0.38 oz.",4.5
Greenies,"Chicken Meal, Animal Fat (Preserved with Mixed Tocopherols), Brewers Rice, Ground Whole Wheat, Wheat Flour, Animal Plasma, Natural Flavors, Fish Oil, Brewers Dried Yeast, Potassium Chloride, Whole Flaxseed, Choline Chloride, Dicalcium Phosphate, Fruit Juice (color), Taurine, Salt, DL-Methionine, Calcium Carbonate, Zinc Sulfate, Vitamin E Supplement, Natural Salmon Flavor, Turmeric Oleoresin (color), Citric Acid (Preservative), Ferrous Sulfate, Mixed Tocopherols (Preservative), Copper Sulfate, Vitamin A Supplement, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement (Vitamin B2), Manganese Sulfate, Thiamine Mononitrate (Vitamin B1), D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Biotin, Potassium Iodide, Folic Acid, Rosemary Extract. Please reference ingredient image for complete ingredient list.",19.98,Cat Treats,"Greenies Smartbites Chicken Flavor Skin & Fur Health Crunchy and Soft Natural Cat Treats, 16 oz.",4.8
